TICKER,Type,Year,TOI,Net Interest Income,Fees Income,OPEX,Provision expense,PBT,Loan,NIM,Core TOI,Core PBT,Non-recurring income,Core TOI_Prior_Year,PBT_Prior_Year,OPEX_Prior_Year,Provision expense_Prior_Year,Non-recurring income_Prior_Year,Net Interest Income_Prior_Year,Fees Income_Prior_Year,Loan_Prior_Year,NIM_Prior_Year,Core_TOI_Change,PBT_Change,OPEX_Change,Provision_Change,Non_Recurring_Change,NII_Change,Fee_Change,Loan_Growth_%,Small_PBT_Flag,Scores_Capped,PBT_Growth_%,Top_Line_Impact,Cost_Cutting_Impact,Non_Recurring_Impact,NII_Impact,Fee_Impact,OPEX_Impact,Provision_Impact,Loan_Impact,NIM_Impact,Total_Impact
BID,SOCB,2019,48121240000000.0,35977808000000.0,4266331000000.0,-17257115000000.0,-20131916000000.0,10732209000000.0,1116997985000000.0,0.0262290514054226,40244139000000.0,2855108000000.0,7877101000000.0,38506663000000.0,9472505000000.0,-16116922000000.0,-18893635000000.0,5976399000000.0,34955864000000.0,3550799000000.0,988738780000000.0,0.0483624374634092,1737476000000.0,1259704000000.0,-1140193000000.0,-1238281000000.0,1900702000000.0,1021944000000.0,715532000000.0,12.181883997262117,False,False,13.298530853243149,18.3,-25.1,20.1,10.8,7.6,-12.0,-13.1,6.1,4.7,13.3
BID,SOCB,2020,50037144000000.0,35796799000000.0,5266381000000.0,-17692960000000.0,-23317941000000.0,9026243000000.0,1214295916000000.0,0.0243247197144191,41063180000000.0,52279000000.0,8973964000000.0,40244139000000.0,10732209000000.0,-17257115000000.0,-20131916000000.0,7877101000000.0,35977808000000.0,4266331000000.0,1116997985000000.0,0.0262290514054226,819041000000.0,-1705966000000.0,-435845000000.0,-3186025000000.0,1096863000000.0,-181009000000.0,1000050000000.0,8.347118392774451,False,False,-15.89575827306382,7.6,-33.7,10.2,-1.7,9.3,-4.1,-29.7,4.2,-5.9,-15.9
BID,SOCB,2021,62493799000000.0,46823308000000.0,6614281000000.0,-19465321000000.0,-29480827000000.0,13547651000000.0,1354632643000000.0,0.029009677980452,53437589000000.0,4491441000000.0,9056210000000.0,41063180000000.0,9026243000000.0,-17692960000000.0,-23317941000000.0,8973964000000.0,35796799000000.0,5266381000000.0,1214295916000000.0,0.0243247197144191,12374409000000.0,4521408000000.0,-1772361000000.0,-6162886000000.0,82246000000.0,11026509000000.0,1347900000000.0,10.925701028807785,False,False,50.09180453041204,137.1,-87.9,0.9,122.2,14.9,-19.6,-68.3,5.5,116.7,50.1
BID,SOCB,2022,69582444000000.0,56069684000000.0,5648065000000.0,-22557474000000.0,-24015485000000.0,23009485000000.0,1522221714000000.0,0.0292357545432116,61717749000000.0,15144790000000.0,7864695000000.0,53437589000000.0,13547651000000.0,-19465321000000.0,-29480827000000.0,9056210000000.0,46823308000000.0,6614281000000.0,1354632643000000.0,0.029009677980452,8280160000000.0,9461834000000.0,-3092153000000.0,5465342000000.0,-1191515000000.0,9246376000000.0,-966216000000.0,11.65085542771535,False,False,69.84114072616721,61.1,17.5,-8.8,68.2,-7.1,-22.8,40.4,5.8,62.4,69.8
BID,SOCB,2023,73013017000000.0,56135566000000.0,6569870000000.0,-25080598000000.0,-20343515000000.0,27588904000000.0,1777664882000000.0,0.0257257993365039,62705436000000.0,17281323000000.0,10307581000000.0,61717749000000.0,23009485000000.0,-22557474000000.0,-24015485000000.0,7864695000000.0,56069684000000.0,5648065000000.0,1522221714000000.0,0.0292357545432116,987687000000.0,4579419000000.0,-2523124000000.0,3671970000000.0,2442886000000.0,65882000000.0,921805000000.0,15.48193615560236,False,False,19.902309851785034,4.3,5.0,10.6,0.3,4.0,-11.0,16.0,7.7,-7.4,19.9
BID,SOCB,2024,81060866000000.0,58007576000000.0,7074445000000.0,-27966817000000.0,-21109180000000.0,31984869000000.0,2056082420000000.0,0.0232413113824463,65082021000000.0,16006024000000.0,15978845000000.0,62705436000000.0,27588904000000.0,-25080598000000.0,-20343515000000.0,10307581000000.0,56135566000000.0,6569870000000.0,1777664882000000.0,0.0257257993365039,2376585000000.0,4395965000000.0,-2886219000000.0,-765665000000.0,5671264000000.0,1872010000000.0,504575000000.0,14.524563883214439,False,False,15.933815275880479,8.6,-13.2,20.6,6.8,1.8,-10.5,-2.8,7.3,-0.5,16.0
BVB,Private_3,2020,1415851000000.0,1104675000000.0,60218000000.0,-867461000000.0,-346902000000.0,201488000000.0,39832796000000.0,0.0006154535786979,1164893000000.0,-49470000000.0,250958000000.0,,,,,,,,,,,,,,,,,,False,False,0.0,,,,,,,,,,
BVB,Private_3,2021,1733295000000.0,1434862000000.0,71002000000.0,-1051415000000.0,-370432000000.0,311448000000.0,46389215000000.0,0.0220524230670458,1505864000000.0,84017000000.0,227431000000.0,1164893000000.0,201488000000.0,-867461000000.0,-346902000000.0,250958000000.0,1104675000000.0,60218000000.0,39832796000000.0,0.0006154535786979,340971000000.0,109960000000.0,-183954000000.0,-23530000000.0,-23527000000.0,330187000000.0,10784000000.0,15.20822565829507,False,False,54.57396966568729,169.2,-103.0,-11.7,163.9,5.3,-91.3,-11.7,7.6,156.3,54.5
BVB,Private_3,2022,1917238000000.0,1713866000000.0,99768000000.0,-1236838000000.0,-224345000000.0,456055000000.0,50859390000000.0,0.0232248434461844,1813634000000.0,352451000000.0,103604000000.0,1505864000000.0,311448000000.0,-1051415000000.0,-370432000000.0,227431000000.0,1434862000000.0,71002000000.0,46389215000000.0,0.0220524230670458,307770000000.0,144607000000.0,-185423000000.0,146087000000.0,-123827000000.0,279004000000.0,28766000000.0,9.193293826682655,False,False,46.43054378258971,98.8,-12.6,-39.7,89.6,9.2,-59.5,46.9,4.6,85.0,46.5
BVB,Private_3,2023,1755036000000.0,1478618000000.0,54414000000.0,-1406915000000.0,-276515000000.0,71606000000.0,57768233000000.0,0.0187383150314567,1533032000000.0,-150398000000.0,222004000000.0,1813634000000.0,456055000000.0,-1236838000000.0,-224345000000.0,103604000000.0,1713866000000.0,99768000000.0,50859390000000.0,0.0232248434461844,-280602000000.0,-384449000000.0,-170077000000.0,-52170000000.0,118400000000.0,-235248000000.0,-45354000000.0,12.720232311444393,False,False,-84.2988236068018,-61.5,-48.7,26.0,-51.6,-9.9,-37.3,-11.5,6.4,-58.0,-84.2
