TICKER,Type,YEARREPORT,LENGTHREPORT,ENDDATE_x,Year,TOI,PBT,NIM,Loan yield,Deposit yield,ROA,ROE,NPL,GROUP 2,NPL Formation (%),G2 Formation (%),NPL Coverage ratio,Provision/ Total Loan,Loan,Deposit,Total Assets,Total Equity,Leverage Multiple,Net Interest Income,OPEX,PPOP,Provision expense,NPATMI,LDR,CASA,CIR,Individual %,Fees/ Total asset,Provision on Balance Sheet,Write-off,Overdue_loan
MBB,Private_1,2024,5,2024-12-31,2024,55413222000000.0,28829328000000.0,0.04073293673565657,0.07830652860055526,0.01771601046010652,0.02213498441051395,0.2117572966253473,0.016204602921116952,0.015704189512559176,0.01992915852567789,0.017112550563266767,0.9224841070215151,0.014948488655324806,776657846000000.0,714154479000000.0,1128801062000000.0,117059581000000.0,9.642961749538468,41152219000000.0,-17007250000000.0,38405972000000.0,-9576644000000.0,22633757000000.0,1.0875207939429588,0.39302100771393467,0.306916822125954,0.433105204505571,0.004212888820251606,-11609861000000.0,-9396915000000.0,0.03190879243367613
MSB,Private_2,2018,5,2018-12-31,2018,4716110000000.0,1052776000000.0,0.0031470492498579467,0.005325835469133768,0.0023948089511836965,0.0009065837020312826,0.009491849294423014,0.030062234831978504,0.01909649644295485,,,0.6780118998405078,0.020382552951881232,48762243000000.0,63528770000000.0,137768688000000.0,13820154000000.0,9.968679654365646,2902271000000.0,-2923739000000.0,1792371000000.0,-739595000000.0,868289000000.0,0.7675615787933562,0.21686206107878367,0.6199471598414795,0.2629327908038847,0.00028356393009685475,-993899000000.0,,0.04915873127493335
MSB,Private_2,2019,5,2019-12-31,2019,4715154000000.0,1287822000000.0,0.024456037373178547,0.09051089189170194,0.01204547940982441,0.0070810647493263655,0.07276334012290964,0.020449005335989628,0.016870875196237832,,,0.6813429587786306,0.013932785799703178,63594389000000.0,80872643000000.0,156977946000000.0,14863521000000.0,10.561289347254935,3062104000000.0,-2502184000000.0,2212970000000.0,-925148000000.0,1043560000000.0,0.7863523021004767,0.2066508942956149,0.5306685635294203,0.30393391679850185,0.0035437419108915085,-886047000000.0,,0.037319880532227456
MSB,Private_2,2020,5,2020-12-31,2020,7182480000000.0,2523314000000.0,0.03341253273191468,0.09115823958983425,0.005286850197186148,0.012054487500974412,0.12673277808480216,0.019632400212254562,0.01237247083866126,0.021718205359280988,0.020283267443610472,0.5412083361688086,0.010625218653874457,79340579000000.0,87510188000000.0,176697625000000.0,16874819000000.0,10.471082682427586,4822389000000.0,-3585922000000.0,3596558000000.0,-1073244000000.0,2011144000000.0,0.9066439098496737,0.29286122662655006,0.4992595872177855,0.282673063196047,0.004918969629934341,-843011000000.0,-1123952000000.0,0.032004871050915824
MSB,Private_2,2021,5,2021-12-31,2021,10588242000000.0,5088463000000.0,0.03652148774980872,0.08389530090880207,0.002794678416960771,0.02121520490076628,0.20737445378880323,0.017415789308839042,0.01143059450156504,0.019863732025449422,0.022123382790034844,0.9536491833696764,0.016608553252112693,101562609000000.0,94616419000000.0,203665423000000.0,22037785000000.0,9.24164669906708,6216244000000.0,-3931913000000.0,6656329000000.0,-1567866000000.0,4034740000000.0,1.0734142136577796,0.35835741151860756,0.3713471037023899,0.2659027886044188,0.01510892824688901,-1686808000000.0,-1364853000000.0,0.02884638381040408
MSB,Private_2,2022,5,2022-12-31,2022,10693674000000.0,5787203000000.0,0.04362346079052314,0.09244160842334198,0.005754536525231538,0.022169814620275362,0.18960952816207202,0.017147648068887102,0.013874136752384143,0.010335142138776683,0.015385268411133472,0.6916828640248498,0.011860734327578015,120643542000000.0,117120779000000.0,212775858000000.0,26653998000000.0,7.982887145110463,8321791000000.0,-4427964000000.0,6265710000000.0,-478507000000.0,4616213000000.0,1.0300780359392931,0.3116034089903039,0.4140732174928841,0.3151002526821384,0.005342717212513809,-1430921000000.0,-749704000000.0,0.031021784821271246
MSB,Private_2,2023,5,2023-12-31,2023,12258987000000.0,5829910000000.0,0.04102455036394914,0.1120319807935187,0.01379749082707179,0.019359696456615134,0.16027737337368153,0.02870238976082036,0.017718959136959155,0.02421483944826487,0.032245737612710344,0.5519367860757811,0.015841904757281595,149145386000000.0,132350131000000.0,267005838000000.0,31298212000000.0,8.531025286684109,9188515000000.0,-4812331000000.0,7446656000000.0,-1616746000000.0,4644214000000.0,1.1269001766231723,0.2653594577855008,0.39255535551183796,0.28127938890647686,0.006657298572724208,-2362747000000.0,-709288000000.0,0.04642134889777952
MSB,Private_2,2024,5,2024-12-31,2024,14218240000000.0,6903842000000.0,0.0364969337360228,0.08080694011322734,0.011190814375507958,0.018800443107655482,0.16205871506787217,0.026750233355684116,0.012201789855647393,0.012389421151788095,0.009109634809621264,0.6409480049842827,0.017145508702189748,176493451000000.0,154612451000000.0,320148089000000.0,36817557000000.0,8.695527761388405,10243064000000.0,-5229935000000.0,8988305000000.0,-2084463000000.0,5519377000000.0,1.1415215906511953,0.26418654342398334,0.36783279787090384,0.26601305521526264,0.004612265839448264,-3026070000000.0,-1407413000000.0,0.03895202321133151
NAB,Private_3,2018,5,2018-12-31,2018,1796240000000.0,742963000000.0,0.0070149301216164625,0.03034218337742186,0.002497638044879606,0.002332783021959059,0.021725733211135616,0.01544273971199852,0.015689753646697693,,,0.9837713228378967,0.015192124474714103,50814947000000.0,54187107000000.0,75059004000000.0,4230082000000.0,17.744101414582506,1706613000000.0,-1154419000000.0,641821000000.0,101142000000.0,591274000000.0,0.937768222245192,0.06118977711801444,0.6426863893466352,0.3172132503752776,0.00020722557637470549,-771987000000.0,,0.031132493358696212
NAB,Private_3,2019,5,2019-12-31,2019,2466054000000.0,924546000000.0,0.026848952425437018,0.1084320795940541,0.012613219096906986,0.008622142582914508,0.15924957893869812,0.019746081957339283,0.0305554378162574,,,0.5950581887923033,0.011750067765278692,67545653000000.0,70744212000000.0,94687435000000.0,4960385000000.0,19.088726983893388,2186136000000.0,-1553650000000.0,912404000000.0,12142000000.0,731789000000.0,0.9547869866724927,0.04785711656523929,0.6300145901103544,0.3172223772155277,0.000864406940519088,-793666000000.0,,0.05030151977359668
