TICKER,TRADE_DATE,Type,PE_RATIO,PX_TO_BOOK_RATIO
SOCB,2020-03-27,SOCB,12.5074,1.7433
SOCB,2020-03-30,SOCB,11.9025,1.6323
SOCB,2020-03-31,SOCB,12.4817,1.5959
SOCB,2020-04-01,SOCB,13.0856,1.6606
SOCB,2020-04-03,SOCB,13.1863,1.7744
SOCB,2020-04-06,SOCB,13.6896,1.8986
SOCB,2020-04-07,SOCB,13.7299,1.9141
SOCB,2020-04-08,SOCB,13.5889,1.9632
SOCB,2020-04-09,SOCB,14.2936,1.9503
SOCB,2020-04-10,SOCB,14.213,1.9089
SOCB,2020-04-13,SOCB,14.2533,1.9218
SOCB,2020-04-14,SOCB,14.0721,1.8882
SOCB,2020-04-15,SOCB,14.2734,1.9296
SOCB,2020-04-16,SOCB,14.3338,1.9296
SOCB,2020-04-17,SOCB,14.3741,1.9348
SOCB,2020-04-20,SOCB,14.4747,1.9193
SOCB,2020-04-21,SOCB,14.3942,1.7951
SOCB,2020-04-22,SOCB,13.9513,1.8727
SOCB,2020-04-23,SOCB,13.9312,1.8727
SOCB,2020-04-24,SOCB,13.8708,1.8623
SOCB,2020-04-27,SOCB,13.448,1.8158
SOCB,2020-04-28,SOCB,13.4883,1.8184
SOCB,2020-04-29,SOCB,13.6896,1.8417
SOCB,2020-05-04,SOCB,13.5688,1.8261
SOCB,2020-05-05,SOCB,13.448,1.8261
SOCB,2020-05-06,SOCB,13.6091,1.8623
SOCB,2020-05-07,SOCB,14.0318,1.9425
SOCB,2020-05-08,SOCB,14.7968,1.9658
SOCB,2020-05-11,SOCB,14.9982,1.9917
SOCB,2020-05-12,SOCB,15.2196,1.9943
SOCB,2020-05-13,SOCB,15.2196,2.0486
SOCB,2020-05-14,SOCB,15.3001,2.0538
SOCB,2020-05-15,SOCB,15.3001,1.9968
SOCB,2020-05-18,SOCB,15.8034,2.0124
SOCB,2020-05-19,SOCB,15.9041,2.0227
SOCB,2020-05-20,SOCB,16.0249,2.0253
SOCB,2020-05-21,SOCB,16.347,2.0538
SOCB,2020-05-22,SOCB,16.3067,2.0331
SOCB,2020-05-25,SOCB,16.3269,2.0512
SOCB,2020-05-26,SOCB,16.6087,2.1727
SOCB,2020-05-27,SOCB,16.6892,2.0589
SOCB,2020-05-28,SOCB,17.0113,2.1055
SOCB,2020-05-29,SOCB,17.1523,2.0744
SOCB,2020-06-01,SOCB,17.414,2.1443
SOCB,2020-06-02,SOCB,17.4341,2.0977
SOCB,2020-06-03,SOCB,17.6958,2.121
SOCB,2020-06-04,SOCB,17.9173,2.1624
SOCB,2020-06-05,SOCB,17.9173,2.1779
SOCB,2020-06-08,SOCB,17.9978,2.2762
SOCB,2020-06-09,SOCB,18.0179,2.2426
SOCB,2020-06-10,SOCB,18.0381,2.2503
SOCB,2020-06-11,SOCB,17.7159,2.0951
SOCB,2020-06-12,SOCB,17.2328,2.1986
SOCB,2020-06-15,SOCB,16.508,2.0641
SOCB,2020-06-16,SOCB,16.8503,2.1055
SOCB,2020-06-17,SOCB,16.9509,2.0848
SOCB,2020-06-18,SOCB,17.112,2.0951
SOCB,2020-06-19,SOCB,17.1925,2.1443
SOCB,2020-06-22,SOCB,17.2127,2.1365
SOCB,2020-06-23,SOCB,17.3133,2.1055
SOCB,2020-06-24,SOCB,17.0516,2.0848
SOCB,2020-06-25,SOCB,16.8503,2.0693
SOCB,2020-06-26,SOCB,16.7698,2.0641
SOCB,2020-06-29,SOCB,16.4074,1.9917
SOCB,2020-06-30,SOCB,15.9455,1.9505
SOCB,2020-07-01,SOCB,16.4221,2.0174
SOCB,2020-07-02,SOCB,16.4022,2.0071
SOCB,2020-07-03,SOCB,16.4817,2.0122
SOCB,2020-07-06,SOCB,16.4618,2.0637
SOCB,2020-07-07,SOCB,16.5611,2.0894
SOCB,2020-07-08,SOCB,16.4817,2.0868
SOCB,2020-07-09,SOCB,16.6008,2.1409
SOCB,2020-07-10,SOCB,16.4221,2.1357
SOCB,2020-07-13,SOCB,16.4618,2.1254
SOCB,2020-07-14,SOCB,16.4817,2.1229
SOCB,2020-07-15,SOCB,16.5809,2.128
SOCB,2020-07-16,SOCB,16.5809,2.128
SOCB,2020-07-17,SOCB,16.4419,2.1409
SOCB,2020-07-20,SOCB,16.3228,2.0997
SOCB,2020-07-21,SOCB,16.3824,2.0997
