TICKER,Type,YEARREPORT,LENGTHREPORT,ENDDATE_x,Year,TOI,PBT,NIM,Loan yield,Deposit yield,ROA,ROE,NPL,GROUP 2,NPL Formation (%),G2 Formation (%),NPL Coverage ratio,Provision/ Total Loan,Loan,Deposit,Total Assets,Total Equity,Leverage Multiple,Net Interest Income,OPEX,PPOP,Provision expense,NPATMI,LDR,CASA,CIR,Individual %,Fees/ Total asset,Provision on Balance Sheet,Write-off,Overdue_loan
HDB,Private_2,2025,5,2025-12-31,2025,43243246301587.5,21066858525109.9,0.05309830655407467,,,0.021165912578417136,0.24843760646803703,0.018336777686356942,0.04226731418127836,0.022574407785672594,0.030254602040056103,0.6717085492414159,0.012316970337465188,575230293300000.0,560006611200000.0,878882880996948.0,73340878855498.6,11.983533531532741,38128437306991.6,-12972973890476.3,,-9203684692800.0,16148213355498.6,1.027184825670858,,0.30000000000000115,,,-7085094459787.5,-7997194233012.5,0.0606040918676353
HDB,Private_2,2026,5,2026-12-31,2026,51904504561586.7,25347792664309.7,0.052952196999277355,,,0.020573004101607055,0.2336923160418123,0.017336777686356945,0.04226731418127836,0.020019778562675585,0.030586607107995177,0.721305261181487,0.01250510895710307,719037866625000.0,688808131776000.0,1072329621857630.0,93414030267665.7,11.479320812783792,46826567064288.8,-15052306322860.2,,-11504605866000.0,19484670462167.1,1.0438870179581892,,0.2900000000000011,,,-8991646866428.57,-9598053459358.93,0.05960409186763531
LPB,Private_2,2025,5,2025-12-31,2025,22114717459020.2,11659766527620.5,0.03366535297472331,,,0.017125180723915515,0.1986603034293499,0.018,0.015,0.009703406240245212,0.01757449511109497,0.9639082896912275,0.017350349214442097,391295451700000.0,334142778280000.0,581037752033013.0,50568867774096.4,11.49002889739695,17892367944765.5,-6622899542706.05,,-3832051388693.58,9327813222096.43,1.1710426713819566,,0.29947927460428336,,,-6789112733017.86,-1373035655675.7197,0.033
LPB,Private_2,2026,5,2026-12-31,2026,24537589380344.3,12810580287261.5,0.0336943822834235,,,0.016324464389001633,0.18401676779053183,0.018,0.015,0.00968,0.01238,1.0405221169146655,0.018729398104463977,461728633006000.0,400971333936000.0,674558019515112.0,60817332003905.7,11.091542448323642,20160108487593.1,-7348279733353.29,,-4378729359729.46,10248464229809.2,1.1515252935255906,,0.2994703195758744,,,-8647899383799.32,-2519942708948.0,0.033
MBB,Private_1,2025,5,2025-12-31,2025,66139100804691.3,33168081526116.1,0.04137541993116325,,,0.02056147339608429,0.20196147988357693,0.015061155229970313,0.013791237094929238,0.015410589277868312,0.01761651635779161,1.0121886557272979,0.015244730465923813,1008613837800000.0,928400822700000.0,1439637214805020.0,140812856599006.0,10.223762585150073,51501603251549.4,-19841730241407.4,,-13129482597400.0,26040149559340.3,1.0863991210894475,,0.30000000000000016,,,-15376046101462.0,-9363297495938.0,0.02885239232489955
MBB,Private_1,2026,5,2026-12-31,2026,79167891021116.3,39406343129605.3,0.041568450935515866,,,0.019501401323330902,0.1996325324209468,0.014057220034154931,0.01078591246653896,0.015015804328347943,0.014709741845265483,1.0816417236690856,0.015204875707738943,1261027637750000.0,1160501028375000.0,1777749974103720.0,169134499633232.0,10.510865482552461,64758081524148.4,-23354527851229.3,,-16407217031018.8,30937787820909.5,1.0866234556601497,,0.29499999999999993,,,-19173768496012.4,-12609494636468.402,0.024843132500693893
MSB,Private_2,2025,5,2025-12-31,2025,15891927741356.6,7779625981263.21,0.03472855173549786,,,0.01798965923877669,0.15576947434624622,0.020482428302485423,0.010079633875250436,0.024002608340309973,0.02401869617577306,0.2325711002496943,0.004763620886094513,213933901200000.0,185534941200000.0,371308736929030.0,43038093338394.7,8.627443925304698,11606726641356.6,-5543731100000.0,,-2568688386182.69,6219536338394.69,1.1530652922642046,,0.3488394353551701,,,-1019100000000.0,-4575658386182.689,0.030562062177735858
MSB,Private_2,2026,5,2026-12-31,2026,17920489370101.2,8957965049034.93,0.03436573032952859,,,0.017833153896053753,0.15361801372601416,0.014482428302485422,0.008079633875250436,0.010774108734720863,0.010228442832265941,0.2787493069742772,0.004036966852622469,252442003416000.0,218931230616000.0,431866839024570.0,50200670164160.8,8.602810233654766,13292434163101.2,-5931792277000.0,,-3030859691363.83,7161576825766.08,1.1530652922642046,,0.3310061547145407,,,-1019100000000.0,-3030859691363.83,0.022562062177735858
OCB,Private_2,2025,5,2025-12-31,2025,10904790029286.4,4212562940218.28,0.03459570509335274,,,0.011230326210204054,0.10210901655452159,0.03303378697609243,0.019613811017054898,0.24106225956747213,0.23969564481484146,-5.622875513516672,-0.18574487190659608,188667628598834.4,160979532741341.0,313658869264507.0,33700095636232.2,9.307358431567208,9743095057751.87,-3925724410543.09,,-2766502761522.33,3337491462829.64,1.1719976160073848,,0.3599999999999987,,,35044044507011.742,-40359871079511.07,0.05264759799314733
OCB,Private_2,2026,5,2026-12-31,2026,12350075635763.3,4700258897887.97,0.03575507028898848,,,0.011087106409068322,0.10496156148446603,0.03185951582050405,0.0195268000190186,0.017507907097329016,0.020646116860057795,-4.925373093229511,-0.1569200019856306,219829659860926.4,188346053307368.0,358090582869635.0,37256905676546.7,9.611388180716622,11219829268461.0,-4569527985232.41,,-3080288885179.65,3723878828022.29,1.1671583025006598,,0.3699999999999991,,,34495670661877.07,-2531915040044.978,0.05138631583952265
